"security_id","symbol","name","series","tick_size","lot_size","instrument_type","segment","exchange","upper_limit","lower_limit","expiry_date","strike_price","freeze_quantity"
"24781","BSLNIFTY","Aditya Birla Sun Life Nifty 50 ETF","EQ","1.0000","1","ETF","E","NSE","33.2100","22.1400","","","3612324"
"23804","BSLGOLDETF","Aditya Birla Sun Life Gold ETF","EQ","1.0000","1","ETF","E","NSE","75.5700","50.3800","","","1587764"
"5957","BSLSENETFG","Aditya Birla Sensex ETF","EQ","1.0000","1","ETF","E","NSE","93.7200","62.4800","","","1280363"
"533408","BSLGOLDETF","Aditya Birla Sun Life Gold ETF","E","1.0000","1","ETF","E","BSE","75.5700","50.3800","","","-1"
"7339","ABSLNN50ET","Aditya Birla Sun Life Nifty Next 50 ETF","EQ","1.0000","1","ETF","E","NSE","89.0800","59.3900","","","235939"
"7074","MAHKTECH","Mirae Hang Seng Tech ETF","EQ","1.0000","1","ETF","E","NSE","14.6800","9.7900","","","6308217"
"7196","BBETF0432","Bharat Bond April 2032 ETF","EQ","1.0000","1","ETF","E","NSE","1405.5900","937.0600","","","85324"
"590099","QGOLDHALF","Quantum Gold ETF","E","1.0000","1","ETF","E","BSE","70.9800","47.3200","","","-1"
"15330","QGOLDHALF","Quantum Gold ETF","EQ","1.0000","1","ETF","E","NSE","70.9800","47.3200","","","1135342"
"7422","MONQ50","Motilal Oswal Nasdaq Q 50 ETF","EQ","1.0000","1","ETF","E","NSE","73.7600","49.1700","","","303293"
"7412","ALPHA","Kotak Nifty Alpha 50 ETF","EQ","1.0000","1","ETF","E","NSE","66.2400","44.1600","","","1652224"
"7451","NIFTY50ADD","DSP Nifty 50 ETF","EQ","1.0000","1","ETF","E","NSE","298.6400","199.0900","","","401804"
"7456","MIDQ50ADD","DSP Nifty Midcap 150 ETF","EQ","1.0000","1","ETF","E","NSE","299.2900","199.5200","","","126924"
"590098","SETFGOLD","SBI Gold ETF","E","1.0000","1","ETF","E","BSE","73.5600","49.0400","","","-1"
